Lat,Lon,Depth,Time,Project,Vessel,Line,Profile,Beam,Accuracy,Status
-12.3270627,130.4896066,23.890,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,13,0,A
-12.3270634,130.4896049,23.891,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,14,0,A
-12.3270640,130.4896035,23.913,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,15,0,A
-12.3270649,130.4896015,23.904,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,16,0,A
-12.3270653,130.4896004,23.920,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,17,0,A
-12.3270660,130.4895988,23.936,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,18,0,A
-12.3270661,130.4895986,23.975,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,19,0,A
-12.3270671,130.4895961,23.953,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,20,0,A
-12.3270687,130.4895924,23.911,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,21,0,A
-12.3270689,130.4895918,23.937,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,22,0,A
-12.3270696,130.4895902,23.953,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,23,0,A
-12.3270707,130.4895874,23.922,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,24,0,A
-12.3270712,130.4895863,23.950,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,25,0,A
-12.3270715,130.4895858,23.978,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,26,0,A
-12.3270729,130.4895823,23.940,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,27,0,A
-12.3270736,130.4895807,23.939,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,28,0,A
-12.3270743,130.4895791,23.952,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,29,0,A
-12.3270758,130.4895754,23.907,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,30,0,A
-12.3270768,130.4895731,23.886,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,31,0,A
-12.3270768,130.4895730,23.940,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,32,0,A
-12.3270784,130.4895693,23.866,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,33,0,A
-12.3270787,130.4895685,23.898,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,34,0,A
-12.3270797,130.4895663,23.895,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,35,0,A
-12.3270805,130.4895642,23.879,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,36,0,A
-12.3270821,130.4895604,23.827,2016-05-25 15:11:57.262 UTC,GA-4452_BynoeHarbour2016_SOL6432,RV_Solander_Dual_EM2040C_2016,3642_20160525_151155_SolanderMay2016,2,37,0,A
